,F,I,H,H-tilde,H-tilde_std,N
TTC34,2.9030137927991324e-06,0.06666666666666687,3.7735572622751854,3.8402239289418523,0.06666666666665856,15
PRDM16,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
MEGF6,3.483616551358959e-06,-0.05555555555555536,4.169925001442312,4.114369445886757,0.055555555555545685,18
TPRG1L,2.2449973330979957e-05,-0.062457866360658976,6.638069141641995,6.575611275281336,0.006507650880288756,116
WRAP73,2.109523356100703e-05,0.009174311926605228,6.548000838538394,6.5571751504649995,0.009174311926556517,109
SMIM1,1.5482740228262038e-06,0.0,3.0,3.0,0.0,8
LRRC47,2.2256439078126683e-05,-0.010827065198578012,6.612838855273388,6.60201179007481,0.01739130434773322,115
AL365330.1,3.8706850570655096e-07,0.0,1.0,1.0,0.0,2
CEP104,1.6063342986821865e-05,0.06478847892869588,6.115885515632142,6.180673994560838,0.03159706323997832,83
DFFB,4.25775356277206e-06,-0.04545454545454586,4.459431618637297,4.4139770731827515,0.045454545454588734,22
C1orf174,2.2449973330979957e-05,0.00976147632107871,6.6143201114509305,6.624081587772009,0.06148561425220767,116
AJAP1,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
AL365255.1,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
NPHP4,3.87068505706551e-06,0.0,4.321928094887363,4.321928094887363,0.0,20
KCNAB2,6.560811171726039e-05,-0.005643216237084303,7.730679932306151,7.7250367160690665,0.07665806556196518,339
RPL22,0.0016756195612036592,0.17636807725939718,8.816662656288315,8.993030733547712,0.00583557648411992,8658
RNF207,1.3547397699729284e-06,-0.1428571428571428,2.807354922057604,2.6644977792004614,0.14285714285714216,7
ICMT,1.1224986665489978e-05,0.1206896551724137,5.6855672020241235,5.806256857196537,0.017241379310432053,58
GPR153,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
ACOT7,3.483616551358959e-06,0.05555555555555536,4.058813890331201,4.114369445886757,0.055555555555545685,18
AL031848.2,9.676712642663775e-07,0.0,2.321928094887362,2.321928094887362,0.0,5
HES2,3.8706850570655096e-07,0.0,1.0,1.0,0.0,2
ESPN,7.741370114131019e-07,0.0,2.0,2.0,0.0,4
TNFRSF25,2.748186390516512e-05,0.1787143926132515,6.654925552557566,6.833639945170818,0.06258604757332577,142
PLEKHG5,5.806027585598265e-07,0.6666666666666666,0.9182958340544894,1.584962500721156,0.0,3
NOL9,1.7418082756794793e-05,-0.07086048612313078,6.380741985218564,6.309881499095433,0.026416041678709277,90
ZBTB48,1.5095671722555488e-05,0.025641025641026438,6.105915039375069,6.131556065016095,0.025641025640903026,78
KLHL21,1.1418520918343254e-05,0.1864406779661021,5.57755830359913,5.763998981565232,0.01694915254232712,59
PHF13,2.9030137927991324e-06,0.0,3.9068905956085187,3.9068905956085187,0.0,15
THAP3,8.128438619837571e-06,0.023809523809523725,5.297079327540666,5.3208888513501895,0.023809523809521102,42
DNAJC11,1.161205517119653e-05,0.09370927081530489,5.7068905956085185,5.800599866423823,0.006290729184671322,60
LINC01672,3.8706850570655096e-07,0.0,1.0,1.0,0.0,2
AL591163.1,3.8706850570655096e-07,0.0,1.0,1.0,0.0,2
CAMTA1-DT,3.8706850570655096e-07,0.0,1.0,1.0,0.0,2
CAMTA1,4.877063171902542e-05,-0.038959269887698156,7.483614733047901,7.444655463160203,0.03102276195135254,252
VAMP3,5.206071401753111e-05,0.35416838937049455,7.17725197786768,7.531420367238175,0.014450627343417786,269
PER3,5.612493332744989e-06,0.1379310344827589,4.651084443403434,4.789015477886193,0.0,29
Z98884.1,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
TNFRSF9,1.5482740228262038e-06,0.25,2.75,3.0,0.0,8
PARK7,0.00021424241790857598,0.20287779164721798,8.355559044374205,8.558436836021423,0.02005954662023647,1107
AL034417.4,9.676712642663775e-07,0.0,2.321928094887362,2.321928094887362,0.0,5
ERRFI1,5.806027585598265e-07,0.0,1.584962500721156,1.584962500721156,0.0,3
SLC45A1,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
RERE,3.8319782064948544e-05,0.22740497092336565,6.999718789269516,7.227123760192882,0.05117339016781244,198
AL096855.1,9.676712642663775e-07,0.3999999999999999,1.9219280948873623,2.321928094887362,0.0,5
ENO1,0.0003566836280085867,0.3679527541020775,8.388252006218494,8.756204760320571,0.03721055891674584,1843
ENO1-AS1,2.322411034239306e-06,0.08333333333333348,3.4182958340544896,3.501629167387823,0.08333333333333452,12
CA6,3.8706850570655096e-07,0.0,1.0,1.0,0.0,2
SLC2A5,5.806027585598265e-07,0.0,1.584962500721156,1.584962500721156,0.0,3
GPR157,3.87068505706551e-06,0.15000000000000036,4.1219280948873624,4.271928094887363,0.049999999999977264,20
MIR34AHG,3.8706850570655096e-07,0.0,1.0,1.0,0.0,2
LINC01759,3.8706850570655096e-07,0.0,1.0,1.0,0.0,2
H6PD,2.3998247353806162e-05,0.20983508071495116,6.472144394977057,6.681979475692009,0.04032258064508895,124
SPSB1,1.161205517119653e-06,0.0,2.584962500721156,2.584962500721156,0.0,6
SLC25A33,1.8192219768207896e-05,0.006622938818278357,6.277993106996787,6.284616045815065,0.09976003990514494,94
TMEM201,2.7094795399458568e-06,0.26820625015453325,3.4677201004744993,3.7359263506290326,0.07142857142858818,14
PIK3CD,5.84473443616892e-05,-0.06270579963729705,7.711720467715934,7.649014668078637,0.0006035231449221766,302
PIK3CD-AS1,9.676712642663775e-07,0.0,2.321928094887362,2.321928094887362,0.0,5
PIK3CD-AS2,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
CLSTN1,2.361117884809961e-05,-0.045162090199401206,6.652048812972723,6.6068867227733215,0.04918032786884357,122
