,F,I,H,H-tilde,H-tilde_std,N
VPS35,7.68E-05,0.288794385,7.610038423,7.898832808,0.047189482,397
ITGA6,1.84E-05,0.288740425,6.082859161,6.371599586,0.06733536,95
C1orf54,7.35E-06,0.288679066,4.879506461,5.168185527,0.05682422,38
RRM1,1.24E-05,0.288627513,5.58805425,5.876681763,0.069837884,64
SOCS1,7.06E-05,0.288608649,7.542771773,7.831380422,0.058450614,365
MED13L,6.77E-05,0.288444038,7.500407042,7.78885108,0.052359663,350
RNF217,5.42E-06,0.288207304,4.450212065,4.738419368,0.070347865,28
GPX4,0.000309074,0.288034527,8.429750266,8.717784793,0.031083819,1597
DIAPH2,3.14E-05,0.287882536,6.701676682,6.989559217,0.055126188,162
RBMS1,0.000110121,0.287881713,7.892788315,8.180670028,0.040740094,569
IL1RN,1.76E-05,0.28780448,6.021369777,6.309174257,0.058869634,91
TRIM8,9.00E-05,0.287734241,7.740659831,8.028394072,0.044966279,465
AC019205.1,2.52E-06,0.287692308,3.39274741,3.680439718,0.056127496,13
KYAT1,2.52E-06,0.287692308,3.39274741,3.680439718,0.05173899,13
AC009404.1,2.90E-06,0.287659167,3.589898095,3.877557262,0.061333333,15
PCAT1,7.55E-06,0.287551192,4.90707177,5.194622962,0.066104625,39
RIN1,1.20E-05,0.287354357,5.522665867,5.810020224,0.062370624,62
AC109454.2,4.64E-06,0.287075187,4.251629167,4.538704355,0.064174988,24
HIST1H1D,4.16E-05,0.287012176,7.019503126,7.306515302,0.05673301,215
NBEAL2,6.25E-05,0.286386677,7.426609203,7.71299588,0.053999735,323
C4orf48,9.64E-05,0.28631437,7.794374355,8.080688725,0.050106449,498
DHX29,3.91E-05,0.28618197,6.953851706,7.240033676,0.057237928,202
LONRF1,1.10E-05,0.286162257,5.420437821,5.706600078,0.071744722,57
FBXO2,2.52E-06,0.286153846,3.39274741,3.678901257,0.057646135,13
ITGA1,2.52E-06,0.286153846,3.39274741,3.678901257,0.057646135,13
ZNF507,5.61E-06,0.286115634,4.513153409,4.799269043,0.05981997,29
CD96,2.69E-05,0.285947244,6.530635767,6.816583011,0.05894228,139
NT5C3B,7.55E-06,0.285944869,4.90707177,5.193016639,0.082288161,39
RPL23,0.000957995,0.285858957,8.66447123,8.950330187,0.017324485,4950
ZNF445,2.01E-05,0.285832091,6.19438981,6.480221901,0.068658409,104
ZNF397,1.78E-05,0.285828709,6.04242432,6.328253029,0.069411534,92
CAMK1D,3.27E-05,0.285813727,6.759437851,7.045251577,0.059471583,169
ADORA2B,1.35E-06,0.285714286,2.521640636,2.807354922,0,7
TMED5,6.17E-05,0.285626189,7.41915997,7.704786159,0.062536918,319
IPO5,3.35E-05,0.285598552,6.786184242,7.071782794,0.064692042,173
JAK2,3.66E-05,0.285543968,6.876798641,7.162342609,0.061644024,189
PCSK5,1.12E-05,0.285401621,5.439624745,5.725026366,0.072592102,58
RBM3,0.00034333,0.285298073,8.465494457,8.75079253,0.027411485,1774
ANKRD9,3.68E-06,0.285263158,3.93213804,4.217401198,0.054279466,19
CARD11,1.86E-05,0.285153496,6.078408433,6.363561929,0.064613918,96
AZI2,5.23E-05,0.284957876,7.256574775,7.541532651,0.056292188,270
PIAS2,2.21E-05,0.284840891,6.303376611,6.588217502,0.065958747,114
RPS5,0.0015864,0.28474999,8.710500045,8.995250035,0.011086292,8197
REEP5,0.000130829,0.284610998,8.013913133,8.298524131,0.04384502,676
TANGO6,6.77E-06,0.284565421,4.76485766,5.049423081,0.054733515,35
AC092053.2,2.90E-06,0.284489242,3.589898095,3.874387337,0.064923396,15
DHFR2,3.87E-06,0.284366931,3.98418372,4.268550651,0.07359397,20
AL357060.1,1.37E-05,0.284295671,5.688410676,5.972706347,0.071196718,71
C12orf43,1.18E-05,0.284236656,5.504507829,5.788744485,0.067283985,61
PROK2,3.68E-06,0.284210526,3.93213804,4.216348566,0.050482437,19
HIST1H1C,4.41E-05,0.283963641,7.08765579,7.371619432,0.052171904,228
ARPC2,0.000706594,0.283819199,8.623270152,8.907089351,0.01692544,3651
FMR1,2.38E-05,0.283790058,6.391502818,6.675292876,0.062330473,123
SOCS7,1.05E-05,0.283738234,5.347480095,5.631218329,0.071318888,54
PLXNA3,1.35E-05,0.283656981,5.686146588,5.96980357,0.077462782,70
FOPNL,1.82E-05,0.283523744,6.074149921,6.357673665,0.071776404,94
TBC1D12,9.68E-06,0.283432793,5.25366069,5.537093482,0.070369209,50
SYTL1,7.43E-05,0.283393763,7.586061053,7.869454816,0.053142311,384
LPGAT1,5.83E-05,0.283258729,7.360721589,7.643980318,0.062313897,301
ICK,9.10E-06,0.283174537,5.155548692,5.438723229,0.071982334,47
DHCR7,3.68E-06,0.283157895,3.93213804,4.215295934,0.066064688,19
JMJD1C,0.000172245,0.28302508,8.185522328,8.468547407,0.039347892,890
TAOK1,6.37E-05,0.282923859,7.438840099,7.721763958,0.050762368,329
SBF2,4.99E-05,0.282907259,7.206722823,7.489630082,0.057443036,258
AC090825.1,1.35E-06,0.282857143,2.521640636,2.804497779,0.028428212,7
PRCD,1.35E-06,0.282857143,2.521640636,2.804497779,0.028428212,7
AC007786.1,1.35E-06,0.282857143,2.521640636,2.804497779,0.028428212,7
DPYD,7.08E-05,0.282694526,7.544905441,7.827599967,0.053671335,366
RPS6,0.003479552,0.282629489,8.747147603,9.029777092,0.007443066,17979
UPK3A,7.35E-06,0.282422635,4.879506461,5.161929096,0.077122319,38
RP9,2.17E-05,0.282406336,6.287134721,6.569541057,0.063639387,112
STX10,6.77E-05,0.28238737,7.507687746,7.790075116,0.0537507,350
RAB13,7.74E-06,0.282173691,4.953055907,5.235229598,0.06413048,40
ARSD,1.18E-05,0.282071252,5.512544305,5.794615557,0.06518327,61
C9orf64,5.61E-06,0.282068966,4.513153409,4.795222374,0.061757841,29
DGKG,7.55E-06,0.28198342,4.92642786,5.20841128,0.065988483,39
KRCC1,3.25E-05,0.281863432,6.762113238,7.043976671,0.056957572,168
PPIB,0.000234176,0.281856542,8.324254984,8.606111526,0.032834193,1210
ZDHHC23,3.68E-06,0.281707954,3.93213804,4.213845994,0.054867506,19
CLN3,9.29E-06,0.281701133,5.194235678,5.475936811,0.07084139,48
FAM53C,0.000121346,0.281620128,7.967623574,8.249243702,0.045349037,627
MSS51,2.52E-06,0.281538462,3.39274741,3.674285872,0.057789661,13
AMN,2.52E-06,0.281538462,3.39274741,3.674285872,0.061749638,13
KCNH3,2.52E-06,0.281538462,3.39274741,3.674285872,0.057789661,13
RAB3IP,1.35E-05,0.281491214,5.689927481,5.971418695,0.066168561,70
IMPA2,3.85E-05,0.281375674,6.923993779,7.205369453,0.063434102,199
DUSP23,3.77E-05,0.281313191,6.923108888,7.204422079,0.059927323,195
ITPR2,3.41E-05,0.28115048,6.801531335,7.082681815,0.060800801,176
CTSK,3.48E-06,0.281111111,3.836591668,4.117702779,0.076100973,18
HCG27,2.90E-06,0.2809925,3.589898095,3.870890596,0.059194594,15
ATP5MPL,0.000272496,0.280733084,8.3880779,8.668810984,0.032926941,1408
TCERG1,4.14E-05,0.280623773,7.021312155,7.301935928,0.061799036,214
ST6GALNAC4,1.47E-05,0.280496411,5.795762672,6.076259083,0.068102794,76
IER5,0.000304042,0.280047547,8.430380042,8.71042759,0.02893387,1571
BTNL9,1.35E-06,0.28,2.521640636,2.801640636,0.04,7
AL358933.1,1.35E-06,0.28,2.521640636,2.801640636,0.04,7
SMIM10,1.35E-06,0.28,2.521640636,2.801640636,0.04,7
P2RY6,1.35E-06,0.28,2.521640636,2.801640636,0.04,7
PTPRS,1.35E-06,0.28,2.521640636,2.801640636,0.04,7
DMGDH,2.52E-06,0.28,3.39274741,3.67274741,0.062983045,13
ZNF469,2.52E-06,0.28,3.39274741,3.67274741,0.059105762,13
AFTPH,5.30E-05,0.279725077,7.274448109,7.554173186,0.050983031,274
AC024940.1,3.68E-06,0.279602691,3.93213804,4.211740731,0.071264132,19
EDEM3,3.66E-05,0.279501345,6.893218763,7.172720108,0.055704011,189
GYPC,9.23E-05,0.279468155,7.77336257,8.052830725,0.042682122,477
KLHL8,3.25E-05,0.279440097,6.756044488,7.035484585,0.067111446,168
NCOA3,6.35E-05,0.279227444,7.445306417,7.724533861,0.051900167,328
POLD3,1.66E-05,0.279209167,5.958071005,6.237280171,0.072524198,86
ABI2,1.84E-05,0.27905869,6.08007324,6.35913193,0.066849771,95
CCDC152,4.64E-06,0.279056391,4.251629167,4.530685558,0.073387319,24
TIMM8B,7.04E-05,0.279003831,7.544863479,7.823867309,0.055537892,364
PLEC,8.24E-05,0.278960601,7.682192852,7.961153452,0.046639342,426
ZNF778,3.68E-06,0.278947368,3.93213804,4.211085408,0.062051716,19
ZNF791,3.72E-05,0.278575669,6.905776938,7.184352607,0.065305522,192
DOPEY1,9.29E-06,0.278265669,5.194235678,5.472501347,0.06317613,48
MAFF,2.44E-05,0.278103975,6.433396392,6.711500366,0.061621291,126
PLAGL2,2.13E-05,0.277902017,6.256137554,6.534039571,0.059556743,110
BTG2,0.000514027,0.277727232,8.575581577,8.853308808,0.020798811,2656
IKZF5,1.43E-05,0.277706167,5.773444413,6.05115058,0.066717566,74
SIDT1,1.16E-05,0.277517798,5.494309137,5.771826935,0.0736395,60
AC073957.3,3.68E-06,0.277497428,3.93213804,4.209635467,0.070155391,19
PRR5L,6.39E-06,0.277415356,4.680757756,4.958173112,0.068914055,33
HIST4H4,7.55E-06,0.277174474,4.92642786,5.203602334,0.063940201,39
ELOVL7,1.35E-06,0.277142857,2.521640636,2.798783493,0.048739206,7
AC021321.1,1.35E-06,0.277142857,2.521640636,2.798783493,0.048739206,7
AKR1C1,1.35E-06,0.277142857,2.521640636,2.798783493,0.048739206,7
HSPA4L,1.35E-06,0.277142857,2.521640636,2.798783493,0.048739206,7
CTTN,1.35E-06,0.277142857,2.521640636,2.798783493,0.048739206,7
TMEM241,1.35E-06,0.277142857,2.521640636,2.798783493,0.048739206,7
GABPB2,2.44E-05,0.277048134,6.42548796,6.702536093,0.0703535,126
MIR4458HG,2.52E-06,0.276923077,3.39274741,3.669670487,0.065271395,13
CYB561D2.1,5.03E-06,0.27691499,4.363713276,4.640628266,0.067324675,26
PAG1,8.15E-05,0.276862978,7.664152901,7.941015878,0.045438167,421
KYNU,3.50E-05,0.276750708,6.849852846,7.126603554,0.061414081,181
SIGLEC14,1.03E-05,0.276727484,5.336318804,5.613046287,0.058838802,53
CBL,4.30E-05,0.276699919,7.064887727,7.341587646,0.065703917,222
PDXK,6.50E-05,0.276594772,7.467179458,7.743774231,0.054502735,336
SDR42E2,1.65E-05,0.276453395,5.935689024,6.212142419,0.065474113,85
TRIM56,6.46E-05,0.276413258,7.462435272,7.73884853,0.058183305,334
ZMYND8,3.91E-05,0.276358558,6.963752696,7.240111254,0.060347062,202
LRRC8B,1.22E-05,0.276203855,5.560380519,5.836584374,0.062051517,63
UBE2D1,6.70E-05,0.276049145,7.489797917,7.765847062,0.054079639,346
POLA1,3.68E-06,0.276047487,3.93213804,4.208185527,0.069473634,19
NACA2,3.68E-06,0.276047487,3.93213804,4.208185527,0.068869019,19
SLC25A42,1.43E-05,0.275952052,5.773444413,6.049396465,0.054063839,74
BCL2,4.43E-05,0.27585741,7.105957487,7.381814897,0.06151375,229
PPM1F,4.24E-05,0.275849255,7.04534137,7.321190626,0.056688289,219
STT3A,2.30E-05,0.275522949,6.369361251,6.6448842,0.067852321,119
RIPOR1,2.32E-05,0.275228922,6.371351741,6.646580664,0.051777283,120
SUPT4H1,9.85E-05,0.275223484,7.821534452,8.096757935,0.049919183,509
SLC7A6,2.81E-05,0.275166433,6.584869953,6.860036385,0.06847847,145
RAB34,2.23E-05,0.275149731,6.304058203,6.579207934,0.062740652,115
CRAMP1,7.74E-06,0.275051134,4.953055907,5.228107042,0.079817479,40
SNAI3,7.35E-06,0.275049897,4.88977908,5.164828977,0.065473323,38
PTPN18,8.36E-05,0.27488075,7.693384885,7.968265635,0.058928921,432
IWS1,3.74E-05,0.274852233,6.924852191,7.199704424,0.06428898,193
DUSP7,1.34E-05,0.274725571,5.697444341,5.972169912,0.068758026,69
MAP1LC3B,0.000186373,0.274692502,8.226541745,8.501234247,0.035522262,963
TUBA4A,0.000125797,0.274556789,7.9996409,8.274197689,0.045661259,650
RABGAP1L,5.57E-05,0.274356132,7.323529604,7.597885736,0.056474626,288
ALS2CL,1.35E-06,0.274285714,2.521640636,2.795926351,0.055988337,7
UNC5CL,1.35E-06,0.274285714,2.521640636,2.795926351,0.055988337,7
SPRY3,1.35E-06,0.274285714,2.521640636,2.795926351,0.055988337,7
KRTAP5-AS1,1.35E-06,0.274285714,2.521640636,2.795926351,0.055988337,7
LGR4,1.35E-06,0.274285714,2.521640636,2.795926351,0.055988337,7
KCNIP2,1.35E-06,0.274285714,2.521640636,2.795926351,0.055988337,7
NANOS1,1.35E-06,0.274285714,2.521640636,2.795926351,0.055988337,7
EML5,1.35E-06,0.274285714,2.521640636,2.795926351,0.055988337,7
C16orf45,1.35E-06,0.274285714,2.521640636,2.795926351,0.055988337,7
MAPT,1.35E-06,0.274285714,2.521640636,2.795926351,0.055988337,7
DES,1.35E-06,0.274285714,2.521640636,2.795926351,0.055988337,7
LIX1-AS1,1.35E-06,0.274285714,2.521640636,2.795926351,0.055988337,7
ST8SIA1,1.35E-06,0.274285714,2.521640636,2.795926351,0.055988337,7
CUEDC1,1.03E-05,0.274228406,5.336318804,5.610547209,0.063478554,53
MX2,6.27E-05,0.274163446,7.440001362,7.714164808,0.048697846,324
SLC44A1,2.26E-05,0.274019515,6.342378074,6.61639759,0.069640762,117
CCDC112,2.40E-05,0.273956203,6.417669496,6.691625699,0.059835673,124
SEC14L1,5.40E-05,0.273871748,7.301816014,7.575687763,0.058568623,279
DNAAF1,2.52E-06,0.273846154,3.39274741,3.666593564,0.077168838,13
HDAC2,4.32E-05,0.273840035,7.074830828,7.348670863,0.06513667,223
SVIL,2.13E-05,0.273813421,6.265406191,6.539219612,0.067882492,110
MAP4K1,2.36E-05,0.273804775,6.400171305,6.67397608,0.068928395,122
HCLS1,0.000222951,0.273764962,8.314145707,8.587910669,0.037620833,1152
FUCA2,2.52E-05,0.273377574,6.456908005,6.73028558,0.06447491,130
MMP25-AS1,1.16E-05,0.273272194,5.502479554,5.775751748,0.058371994,60
RIMKLB,5.23E-06,0.273143982,4.430632409,4.703776391,0.04990526,27
AC103706.1,4.64E-06,0.272908521,4.251629167,4.524537688,0.067202162,24
FAM13A,2.32E-05,0.272869079,6.356564762,6.629433841,0.058192214,120
APOBR,4.61E-05,0.272858998,7.140938864,7.413797862,0.059601026,238
ATXN3,4.12E-05,0.272735964,7.02551408,7.298250044,0.052353009,213
ZNF776,4.06E-06,0.272730411,4.070656113,4.343386524,0.060426167,21
ITGB7,3.46E-05,0.27251838,6.826560244,7.099078624,0.056346262,179
CTTNBP2NL,2.52E-06,0.272307692,3.39274741,3.665055103,0.068301455,13
RHOBTB3,3.68E-06,0.27223427,3.93213804,4.204372309,0.067836622,19
FXYD6,1.01E-05,0.27214344,5.301307266,5.573450706,0.073207383,52
TMSB4X,0.007256954,0.272018638,8.772474095,9.044492733,0.006164986,37497
TMEM91,1.55E-05,0.271909028,5.878055907,6.149964936,0.063974721,80
COX8A,0.000229338,0.271892204,8.329207102,8.601099306,0.035670166,1185
TANC2,7.16E-06,0.27188621,4.864726676,5.136612886,0.059884288,37
GSR,2.77E-05,0.271829766,6.576765896,6.848595662,0.062547471,143
ZNF559,4.84E-06,0.271698045,4.32385619,4.595554235,0.062968065,25
SSFA2,2.96E-05,0.271641067,6.659029182,6.930670249,0.059937025,153
PWAR6,3.68E-06,0.271578947,3.93213804,4.203716987,0.063472899,19
HIST3H2A,1.47E-05,0.271547691,5.807009421,6.078557112,0.060523133,76
GRHL1,1.35E-06,0.271428571,2.521640636,2.793069208,0.062269985,7
BBS5,1.35E-06,0.271428571,2.521640636,2.793069208,0.062269985,7
ARF4-AS1,1.35E-06,0.271428571,2.521640636,2.793069208,0.062269985,7
GMPR,1.35E-06,0.271428571,2.521640636,2.793069208,0.062269985,7
LBHD1,1.35E-06,0.271428571,2.521640636,2.793069208,0.062269985,7
AL137186.2,1.35E-06,0.271428571,2.521640636,2.793069208,0.062269985,7
RAPGEF3,1.35E-06,0.271428571,2.521640636,2.793069208,0.062269985,7
HSD17B1,1.35E-06,0.271428571,2.521640636,2.793069208,0.062269985,7
ST6GALNAC1,1.35E-06,0.271428571,2.521640636,2.793069208,0.062269985,7
SMOX,1.35E-06,0.271428571,2.521640636,2.793069208,0.062269985,7
DMPK,1.35E-06,0.271428571,2.521640636,2.793069208,0.062269985,7
NAPSA,1.35E-06,0.271428571,2.521640636,2.793069208,0.062269985,7
OAS3,1.18E-05,0.271415756,5.52491951,5.796335266,0.063911538,61
CD101,1.01E-05,0.271409944,5.315824334,5.587234278,0.065573535,52
KIF20B,1.72E-05,0.271357051,6.013717527,6.285074578,0.058504546,89
VIPR1,1.51E-05,0.271301642,5.830148693,6.101450335,0.062990143,78
USP3,9.77E-05,0.271098078,7.823733175,8.094831253,0.048472116,505
DSTYK,2.63E-05,0.271060104,6.521142621,6.792202724,0.0620059,136
ATP5F1A,0.000170891,0.271008816,8.192983255,8.46399207,0.038725174,883
AGMAT,3.10E-06,0.270930469,3.702819531,3.97375,0.056720257,16
DHTKD1,1.45E-05,0.270790103,5.79862319,6.069413293,0.058477382,75
BMF,8.52E-06,0.270775125,5.078638721,5.349413846,0.068525415,44
TCEAL4,2.09E-05,0.270751323,6.245447224,6.516198547,0.058118404,108
MTDH,0.000222564,0.270667873,8.309971921,8.580639794,0.033070727,1150
ACTR3,0.000235918,0.27062535,8.346825502,8.617450851,0.03190991,1219
CPD,2.50E-05,0.270487174,6.458636461,6.729123635,0.064599109,129
MAP7D3,1.61E-05,0.270483194,5.917208106,6.1876913,0.062516346,83
POMP,0.000129474,0.27038192,8.019410104,8.289792023,0.043857452,669
ADSSL1,1.35E-06,0.270350161,2.521640636,2.791990797,0.082625636,7
GIPR,1.35E-06,0.270350161,2.521640636,2.791990797,0.082625636,7
LIN7A,1.14E-05,0.270321915,5.484172287,5.754494202,0.065542053,59
PTP4A1,8.21E-05,0.270209152,7.679462806,7.949671958,0.041408411,424
ZFYVE16,3.72E-05,0.270104571,6.909708644,7.179813215,0.062728057,192
SIRPB2,1.68E-05,0.270056244,5.980131283,6.250187528,0.068147642,87
BEX2,2.90E-05,0.26991687,6.637957421,6.90787429,0.062183681,150
ANKRD26,1.43E-05,0.2696009,5.783645595,6.053246496,0.064269767,74
TBC1D9,2.61E-05,0.269540457,6.518415019,6.787955477,0.061299087,135
BRCA1,4.06E-06,0.269513798,4.070656113,4.340169911,0.070523328,21
PFKP,2.19E-05,0.269468204,6.29788206,6.567350264,0.07288004,113
PRKD2,2.30E-05,0.269306632,6.369361251,6.638667883,0.062850666,119
EEF1B2,0.001140497,0.269284136,8.698276592,8.967560728,0.014601151,5893
MAML3,1.78E-05,0.269075819,6.041338826,6.310414645,0.063864966,92
LINC02035,7.35E-06,0.268995661,4.892407119,5.16140278,0.065134701,38
RIN2,1.30E-05,0.268950641,5.648178743,5.917129384,0.078363667,67
1-Sep,6.37E-05,0.268766223,7.467441648,7.73620787,0.047777971,329
CXorf21,2.48E-05,0.268705962,6.451057324,6.719763286,0.061626641,128
NFKBIE,2.21E-05,0.268665194,6.308552843,6.577218037,0.060140253,114
C8orf44,6.19E-06,0.268660723,4.663909766,4.932570488,0.0632437,32
MFSD4A,1.35E-06,0.268571429,2.521640636,2.790212065,0.067853383,7
PTPN14,1.35E-06,0.268571429,2.521640636,2.790212065,0.067853383,7
RUFY4,1.35E-06,0.268571429,2.521640636,2.790212065,0.067853383,7
OSBPL10-AS1,1.35E-06,0.268571429,2.521640636,2.790212065,0.067853383,7
HIST1H2BI,1.35E-06,0.268571429,2.521640636,2.790212065,0.067853383,7
AC004803.1,1.35E-06,0.268571429,2.521640636,2.790212065,0.067853383,7
AC127070.1,1.35E-06,0.268571429,2.521640636,2.790212065,0.067853383,7
FGF9,1.35E-06,0.268571429,2.521640636,2.790212065,0.067853383,7
GREM1,1.35E-06,0.268571429,2.521640636,2.790212065,0.067853383,7
MROH8,1.35E-06,0.268571429,2.521640636,2.790212065,0.067853383,7
AC006213.2,1.35E-06,0.268571429,2.521640636,2.790212065,0.067853383,7
AC092803.2,5.42E-06,0.268556411,4.4677201,4.736276511,0.059049395,28
TBC1D4,1.47E-05,0.268481128,5.807009421,6.075490549,0.072607647,76
UPF3A,6.21E-05,0.268401971,7.434354313,7.702756283,0.057466847,321
GRAMD4,1.63E-05,0.2683251,5.930949714,6.199274814,0.069188284,84
MKNK1,3.31E-05,0.26821033,6.799778921,7.067989251,0.063398216,171
TDP1,9.87E-06,0.268167488,5.289880734,5.558048222,0.056425588,51
SAMD9L,3.14E-05,0.268154872,6.724734321,6.992889192,0.062792289,162
RPS18,0.005056469,0.268146677,8.769488877,9.037635554,0.006171119,26127
AKAP1,1.32E-05,0.268146659,5.664596849,5.932743508,0.065647091,68
PHETA1,6.19E-06,0.26811843,4.663909766,4.932028195,0.05582587,32
CENPL,5.03E-06,0.267974563,4.363713276,4.631687838,0.069775099,26
SUMO3,8.46E-05,0.267947714,7.711267633,7.979215346,0.049263078,437
KANTR,4.64E-06,0.267908521,4.251629167,4.519537688,0.079704699,24
VPS29,0.000104896,0.267856104,7.88155136,8.149407464,0.05183161,542
MFSD1,5.94E-05,0.267849591,7.400717881,7.668567472,0.050434764,307
CAPZA2,0.000118636,0.267785585,7.953862776,8.221648361,0.047553412,613
PARP15,2.01E-05,0.267768609,6.201245997,6.469014606,0.063808386,104
GNG2,6.19E-05,0.267716267,7.429112129,7.696828396,0.054338401,320
AMIGO2,3.68E-06,0.267626434,3.93213804,4.199764474,0.067704245,19
BAIAP2-DT,1.14E-05,0.267490154,5.484172287,5.751662441,0.066298695,59
RIOK1,1.99E-05,0.267379999,6.193734629,6.461114628,0.058345291,103
ADAM8,5.26E-05,0.267367734,7.282657248,7.550024981,0.064564206,272
HGF,7.55E-06,0.267237324,4.92642786,5.193665184,0.060302628,39
PDZD8,2.52E-05,0.267043089,6.468398487,6.735441576,0.067601883,130
NUDT1,3.25E-05,0.266862975,6.774018,7.040880976,0.06447047,168
EIF6,8.13E-05,0.266778923,7.678283748,7.945062671,0.047068503,420
RNF135,3.29E-05,0.266667571,6.78119101,7.04785858,0.058165676,170
CNDP2,5.86E-05,0.266590104,7.389439465,7.65602957,0.054827158,303
KDM4B,4.16E-05,0.266535046,7.036714306,7.303249352,0.05827884,215
PCBD2,1.10E-05,0.266469873,5.4422819,5.708751773,0.061564874,57
ZNF584,6.77E-06,0.266134479,4.786425874,5.052560353,0.067471627,35
CISH,1.66E-05,0.26613101,5.972549057,6.238680066,0.069206209,86
ZNF793,4.06E-06,0.266063744,4.070656113,4.336719857,0.064293107,21
AZIN1,4.76E-05,0.265914804,7.180225711,7.446140515,0.059528179,246
HIST1H2BD,6.77E-06,0.265778732,4.786425874,5.052204606,0.063076216,35
CDC42EP2,7.35E-06,0.265778408,4.892407119,5.158185527,0.067332867,38
IL1R1,1.35E-06,0.265714286,2.521640636,2.787354922,0.072899148,7
ZNF23,1.35E-06,0.265714286,2.521640636,2.787354922,0.083348298,7
FFAR1,1.35E-06,0.265714286,2.521640636,2.787354922,0.072899148,7
AL353135.1,1.35E-06,0.265714286,2.521640636,2.787354922,0.072899148,7
C16orf74,1.37E-05,0.265626102,5.723484267,5.989110369,0.064685621,71
RFX5,1.84E-05,0.265566195,6.088019424,6.353585619,0.066223141,95
PPP1R9B,5.75E-05,0.265386845,7.37006887,7.635455715,0.048914426,297
VRK2,1.10E-05,0.265207538,5.446925102,5.71213264,0.066853765,57
PTGER2,4.18E-05,0.265155752,7.047627521,7.312783273,0.062681753,216
SND1,5.94E-05,0.265144104,7.402073552,7.667217657,0.053002914,307
FRMD4B,1.68E-05,0.265120317,5.974496513,6.23961683,0.060743004,87
BICD1,6.97E-06,0.265056816,4.815622571,5.080679387,0.067826868,36
AL450998.2,2.19E-05,0.264729309,6.30456248,6.569291789,0.073249266,113
GMIP,4.06E-05,0.264643446,7.028345041,7.292988487,0.05688334,210
ATP6V1F,0.000155989,0.264623989,8.131309101,8.39593309,0.037419309,806
RTN4IP1,4.84E-06,0.264498045,4.32385619,4.588354235,0.072122043,25
ZNF706,0.000118636,0.264435709,7.96946645,8.23390216,0.043085091,613
RIN3,6.73E-05,0.264386627,7.519923714,7.784310341,0.052140588,348
CMTM3,5.55E-05,0.264088004,7.339356568,7.603444572,0.056639813,287
TNFRSF8,5.81E-06,0.264075187,4.573557262,4.83763245,0.069166507,30
PDLIM7,1.74E-05,0.264019058,6.036080318,6.300099377,0.058512662,90
MCM4,2.90E-06,0.263985983,3.589898095,3.853884079,0.086922665,15
UQCRH,0.00026669,0.263970279,8.394749055,8.658719334,0.031288493,1378
H2AFZ,0.000226435,0.263841529,8.331863582,8.59570511,0.035831407,1170
ADAP1,3.64E-05,0.263829904,6.900021564,7.163851468,0.052921867,188
SMAGP,1.05E-05,0.263822085,5.377766614,5.641588699,0.057449399,54
GBP4,2.81E-05,0.263782773,6.605535211,6.869317984,0.052828869,145
STARD4,1.20E-05,0.263769589,5.554923931,5.81869352,0.06549739,62
BTK,5.65E-05,0.263722927,7.349057018,7.612779944,0.058489134,292
ACSM3,6.19E-06,0.263660723,4.663909766,4.927570488,0.071054263,32
PFKFB4,9.68E-06,0.26348211,5.26875844,5.53224055,0.06660544,50
XPNPEP3,8.71E-06,0.263315628,5.119522263,5.382837891,0.066982251,45
AC006449.6,6.19E-06,0.263271625,4.663909766,4.927181391,0.059334967,32
ADI1,4.76E-05,0.263250105,7.180631668,7.443881773,0.060312032,246
RTTN,5.81E-06,0.263245112,4.573557262,4.836802375,0.067060017,30
SGMS2,1.10E-05,0.263226491,5.433681461,5.696907953,0.061155472,57
NCOR2,4.12E-05,0.263149068,7.036146299,7.299295367,0.058214878,213
TMX4,6.43E-05,0.263110579,7.477165297,7.740275877,0.049225514,332
TRPS1,4.70E-05,0.263085193,7.168484495,7.431569688,0.061621423,243
FALEC,1.35E-06,0.262857143,2.521640636,2.784497779,0.077512343,7
AL358472.5,1.35E-06,0.262857143,2.521640636,2.784497779,0.087411763,7
DPPA4,1.35E-06,0.262857143,2.521640636,2.784497779,0.077512343,7
TMEM136,1.35E-06,0.262857143,2.521640636,2.784497779,0.077512343,7
MKLN1,3.54E-05,0.262843811,6.867998609,7.13084242,0.062057389,183
IDH2,5.61E-05,0.262592683,7.352486666,7.615079348,0.055018226,290
ALG11,5.81E-06,0.262578446,4.573557262,4.836135708,0.066690291,30
SH2B2,1.03E-05,0.262484323,5.350561964,5.613046287,0.066639191,53
RNASEH1,1.63E-05,0.262358548,5.942621738,6.204980286,0.071100223,84
PCBD1,1.41E-05,0.262329803,5.758183805,6.020513609,0.068849747,73
AC096992.2,2.71E-06,0.262317937,3.521640636,3.783958574,0.062220858,14
RPS29,0.003112611,0.262283924,8.763794428,9.026078352,0.008182987,16083
OTULIN,2.52E-05,0.262247372,6.484104979,6.746352351,0.054612266,130
DLEU2,1.55E-05,0.262243614,5.878055907,6.140299521,0.058804374,80
AC093673.1,1.35E-05,0.262187332,5.707714803,5.969902135,0.068106324,70
RAP2A,2.01E-05,0.262124574,6.20515342,6.467277994,0.066338279,104
FKBP15,4.68E-05,0.262055228,7.168499704,7.430554932,0.058203809,242
MRVI1,3.87E-06,0.262,4.021928095,4.283928095,0.066,20
TSPAN4,2.03E-05,0.261989525,6.215535727,6.477525253,0.057208332,105
RAD18,5.23E-06,0.261934847,4.430632409,4.692567257,0.070053433,27
